MouseID,S6_N,P38_N,RAPTOR_N,Ubiquitin_N,Tau_N,Genotype,Treatment,Behavior,class
322_6,0.407729995,0.394983331,0.330052389,1.295953547,0.199872981,Control,Memantine,C/S,c-CS-m
322_7,0.370808679,0.395188326,0.323802011,1.334725606,0.201879568,Control,Memantine,C/S,c-CS-m
322_8,0.381476224,0.40893067,0.325303564,1.307546723,0.188549799,Control,Memantine,C/S,c-CS-m
322_9,0.372551362,0.421682099,0.330246914,1.286072623,0.175585284,Control,Memantine,C/S,c-CS-m
322_10,0.340060824,0.469611968,0.359747546,1.34835499,0.188830523,Control,Memantine,C/S,c-CS-m
322_11,0.341052632,0.451160653,0.339921857,1.335298246,0.171649123,Control,Memantine,C/S,c-CS-m
322_12,0.346257252,0.516015899,0.375964461,1.313004104,0.167963775,Control,Memantine,C/S,c-CS-m
322_13,0.302915767,0.523783186,0.38550885,1.362491001,0.153347732,Control,Memantine,C/S,c-CS-m
322_14,0.330545455,0.559493671,0.391561181,1.381090909,0.168,Control,Memantine,C/S,c-CS-m
322_15,0.300750503,0.534864416,0.379911455,1.308804686,0.152663372,Control,Memantine,C/S,c-CS-m
3415_1,0.54104099,0.401049869,0.321959755,1.139153815,0.210379464,Control,Memantine,C/S,c-CS-m
3415_2,0.539226409,0.402317597,0.296051502,1.227851248,0.193397633,Control,Memantine,C/S,c-CS-m
3415_3,0.561875442,0.410913238,0.29967541,1.226102756,0.20429999,Control,Memantine,C/S,c-CS-m
3415_4,0.466762285,0.394739813,0.286714076,1.05649788,0.194125717,Control,Memantine,C/S,c-CS-m
3415_5,0.491797166,0.393666178,0.290318945,1.132736764,0.19711658,Control,Memantine,C/S,c-CS-m
3415_6,0.483420268,0.416499666,0.288799822,1.176353701,0.204359165,Control,Memantine,C/S,c-CS-m
3415_7,0.393785357,0.394805195,0.284347232,1.115438223,0.173977208,Control,Memantine,C/S,c-CS-m
3415_8,0.409064689,0.363943809,0.302029136,1.141161928,0.170333745,Control,Memantine,C/S,c-CS-m
3415_9,0.418376748,0.42295302,0.293691275,1.188122958,0.188709272,Control,Memantine,C/S,c-CS-m
3415_10,0.359329446,0.401687216,0.304510058,1.040712203,0.164618909,Control,Memantine,C/S,c-CS-m
3415_11,0.374270833,0.43678908,0.312317192,1.103958333,0.165520833,Control,Memantine,C/S,c-CS-m
3415_12,0.365617433,0.425040917,0.322094926,1.133803558,0.17433414,Control,Memantine,C/S,c-CS-m
3415_13,0.226273847,0.474989833,0.293005287,0.750664091,0.096232794,Control,Memantine,C/S,c-CS-m
3415_14,0.244690892,0.470893142,0.331140351,0.811821614,0.099693252,Control,Memantine,C/S,c-CS-m
3415_15,0.264653217,0.475770925,0.341409692,0.856870001,0.100155187,Control,Memantine,C/S,c-CS-m
3499_1,0.620987958,0.411144578,0.27303331,1.078348489,0.202457606,Control,Memantine,C/S,c-CS-m
3499_2,0.602609326,0.413774403,0.275849602,1.110316502,0.205411935,Control,Memantine,C/S,c-CS-m
3499_3,0.623012573,0.419746426,0.273086953,1.136001174,0.212024852,Control,Memantine,C/S,c-CS-m
3499_4,0.578658346,0.38372615,0.256565657,1.021840874,0.181154446,Control,Memantine,C/S,c-CS-m
3499_5,0.574760364,0.384928717,0.254582485,1.051834666,0.183161365,Control,Memantine,C/S,c-CS-m
3499_6,0.586959217,0.354447592,0.251444759,1.036506756,0.200012396,Control,Memantine,C/S,c-CS-m
3499_7,0.526307535,0.409401709,0.246296296,1.026581981,0.171489061,Control,Memantine,C/S,c-CS-m
3499_8,0.526633633,0.383933676,0.254431103,1.058067513,0.171492722,Control,Memantine,C/S,c-CS-m
3499_9,0.51235391,0.406947148,0.264261117,1.042513138,0.179935681,Control,Memantine,C/S,c-CS-m
3499_10,0.467907445,0.40519263,0.259798995,1.021830986,0.166297787,Control,Memantine,C/S,c-CS-m
3499_11,0.471810679,0.408507765,0.264854828,1.037585761,0.172814955,Control,Memantine,C/S,c-CS-m
3499_12,0.475065617,0.411622694,0.268322125,1.049666869,0.173934989,Control,Memantine,C/S,c-CS-m
3499_13,0.406458596,0.425112613,0.280780781,1.042215407,0.175717121,Control,Memantine,C/S,c-CS-m
3499_14,0.410624551,0.437815598,0.279034973,1.051687006,0.177853553,Control,Memantine,C/S,c-CS-m
3499_15,0.413558699,0.411369991,0.279403541,1.062465552,0.175638435,Control,Memantine,C/S,c-CS-m
3507_1,0.5511395,0.344616697,0.283601195,1.170412428,0.185632048,Control,Memantine,C/S,c-CS-m
3507_2,0.542485708,0.365520158,0.279954891,1.122249197,0.187641945,Control,Memantine,C/S,c-CS-m
3507_3,0.574106295,0.351642048,0.284382619,1.147975324,0.19266055,Control,Memantine,C/S,c-CS-m
3507_4,0.542167458,0.342815345,0.272756827,1.18977881,0.184021816,Control,Memantine,C/S,c-CS-m
3507_5,0.541768045,0.345255837,0.267759563,1.166768045,0.180048662,Control,Memantine,C/S,c-CS-m
3507_6,0.526321077,0.335369993,0.282077393,1.143962226,0.178018887,Control,Memantine,C/S,c-CS-m
3507_7,0.485955787,0.408215409,0.275353774,1.203120936,0.167750325,Control,Memantine,C/S,c-CS-m
3507_8,0.50571391,0.402858326,0.29908865,1.194404308,0.17010377,Control,Memantine,C/S,c-CS-m
3507_9,0.511297951,0.363598673,0.289593698,1.204414083,0.169600631,Control,Memantine,C/S,c-CS-m
3507_10,0.474462784,0.457338691,0.29827464,1.220959203,0.169884771,Control,Memantine,C/S,c-CS-m
3507_11,0.491089733,0.433971527,0.302650957,1.213688693,0.175524365,Control,Memantine,C/S,c-CS-m
3507_12,0.476091142,0.442189106,0.32065776,1.235558408,0.178273427,Control,Memantine,C/S,c-CS-m
3507_13,0.437341236,0.45687091,0.360202261,1.313928874,0.164479255,Control,Memantine,C/S,c-CS-m
3507_14,0.471365639,0.480431083,0.321043676,1.278162366,0.168239983,Control,Memantine,C/S,c-CS-m
3507_15,0.452696918,0.5160451,0.327551315,1.278253425,0.175513699,Control,Memantine,C/S,c-CS-m
3520_1,0.778590426,0.415442561,0.284463277,1.268975041,0.273220131,Control,Memantine,C/S,c-CS-m
3520_2,0.787034626,0.410892037,0.288093415,1.279822963,0.277583963,Control,Memantine,C/S,c-CS-m
3520_3,0.780678851,0.40546697,0.342160213,1.395039164,0.271018277,Control,Memantine,C/S,c-CS-m
3520_4,0.654398087,0.421031954,0.304609743,1.289131012,0.250265745,Control,Memantine,C/S,c-CS-m
3520_5,0.683028617,0.408079249,0.288305673,1.286830949,0.263447271,Control,Memantine,C/S,c-CS-m
3520_6,0.677120316,0.424048984,0.331422616,1.316831032,0.235700197,Control,Memantine,C/S,c-CS-m
3520_7,0.600309438,0.377709973,0.281194797,1.322245144,0.221591886,Control,Memantine,C/S,c-CS-m
3520_8,0.596273292,0.357478098,0.277221527,1.310388837,0.229898749,Control,Memantine,C/S,c-CS-m
3520_9,0.593470292,0.357501904,0.275095202,1.310970932,0.216435087,Control,Memantine,C/S,c-CS-m
3520_10,0.593010942,0.358163265,0.280816327,1.264384045,0.1931992,Control,Memantine,C/S,c-CS-m
3520_11,0.602934217,0.374869329,0.291239808,1.243019404,0.196639849,Control,Memantine,C/S,c-CS-m
3520_12,0.589034677,0.369763206,0.2825339,1.17373477,0.203608247,Control,Memantine,C/S,c-CS-m
3520_13,0.543338684,0.38131437,0.275380088,1.224398074,0.1894061,Control,Memantine,C/S,c-CS-m
3520_14,0.564949789,0.416540595,0.302571861,1.227243278,0.199060577,Control,Memantine,C/S,c-CS-m
3520_15,0.567976804,0.41224885,0.289518276,1.174774485,0.188305412,Control,Memantine,C/S,c-CS-m
3521_1,0.580186603,0.421626984,0.31588955,1.158524778,0.211865153,Control,Memantine,C/S,c-CS-m
3521_2,0.592034114,0.417986331,0.321386898,1.180243549,0.204510485,Control,Memantine,C/S,c-CS-m
3521_3,0.587945716,0.412628488,0.315875347,1.227159837,0.206625865,Control,Memantine,C/S,c-CS-m
3521_4,0.516971743,0.410637333,0.338738943,1.162727327,0.197618624,Control,Memantine,C/S,c-CS-m
3521_5,0.527060932,0.40322032,0.310125865,1.208841099,0.193548387,Control,Memantine,C/S,c-CS-m
3521_6,0.543223881,0.382690187,0.310253583,1.175880597,0.200776119,Control,Memantine,C/S,c-CS-m
3521_7,0.477995676,0.364229591,0.290850979,1.1571958,0.196571958,Control,Memantine,C/S,c-CS-m
3521_8,0.486782418,0.356828781,0.290739507,1.179727827,0.199202252,Control,Memantine,C/S,c-CS-m
3521_9,0.489419849,0.345819398,0.289899666,1.189427657,0.196689311,Control,Memantine,C/S,c-CS-m
3521_10,0.455648742,0.346449808,0.287513116,1.236112481,0.186581154,Control,Memantine,C/S,c-CS-m
3521_11,0.466554522,0.358211614,0.309226933,1.234217297,0.194339996,Control,Memantine,C/S,c-CS-m
3521_12,0.450620299,0.385364095,0.302271089,1.238448764,0.18198691,Control,Memantine,C/S,c-CS-m
3521_13,0.401588352,0.351315789,0.281140351,1.231369954,0.178027796,Control,Memantine,C/S,c-CS-m
3521_14,0.435212396,0.365495776,0.285237884,1.250734705,0.182741117,Control,Memantine,C/S,c-CS-m
3521_15,0.424579526,0.365705931,0.2786132,1.20884651,0.177327506,Control,Memantine,C/S,c-CS-m
3477_1,0.428592058,0.411591618,0.355060187,1.105222623,0.194368231,Control,Saline,C/S,c-CS-s
3477_2,0.414417906,0.418946025,0.377279358,1.093115644,0.18458408,Control,Saline,C/S,c-CS-s
3477_3,0.361648795,0.425354691,0.402105263,0.998700274,0.180476257,Control,Saline,C/S,c-CS-s
3477_4,0.389429764,0.442757822,0.361529548,1.078644582,0.17695031,Control,Saline,C/S,c-CS-s
3477_5,0.368027383,0.422313955,0.373695677,1.04773073,0.173744929,Control,Saline,C/S,c-CS-s
3477_6,0.340109223,0.446717918,0.408752218,1.075546117,0.166868932,Control,Saline,C/S,c-CS-s
3477_7,0.347043926,0.42134019,0.388879961,1.014234565,0.166361017,Control,Saline,C/S,c-CS-s
3477_8,0.332110248,0.443660817,0.401344924,1.035839235,0.167761754,Control,Saline,C/S,c-CS-s
3477_9,0.294967031,0.468034594,0.445480753,1.023537267,0.161589183,Control,Saline,C/S,c-CS-s
3477_10,0.355078448,0.476439791,0.390366492,1.213400967,0.170933113,Control,Saline,C/S,c-CS-s
3477_11,0.328627632,0.486809045,0.409966499,1.173455219,0.172645221,Control,Saline,C/S,c-CS-s
3477_12,0.281025986,0.499684011,0.443227301,1.157930108,0.165546595,Control,Saline,C/S,c-CS-s
3477_13,0.341727152,0.455286691,0.359547607,1.14086802,0.173455784,Control,Saline,C/S,c-CS-s
3477_14,0.333187836,0.441075666,0.400738202,1.143605412,0.172995781,Control,Saline,C/S,c-CS-s
3477_15,0.292109364,0.492787223,0.433797012,1.185295368,0.161495963,Control,Saline,C/S,c-CS-s
3478_1,0.527747958,0.360962104,0.326527081,1.109451575,0.231458576,Control,Saline,C/S,c-CS-s
3478_2,0.512686894,0.363178025,0.341707232,1.202990308,0.269517362,Control,Saline,C/S,c-CS-s
3478_3,0.472581241,0.386401915,0.36503856,1.151957164,0.251661743,Control,Saline,C/S,c-CS-s
3478_4,0.480370774,0.388620568,0.319472258,1.146431601,0.239912759,Control,Saline,C/S,c-CS-s
3478_5,0.452820982,0.387445117,0.33404533,1.116376944,0.245074718,Control,Saline,C/S,c-CS-s
3478_6,0.409777055,0.388371538,0.354703916,1.106072922,0.233917789,Control,Saline,C/S,c-CS-s
3478_7,0.420793626,0.383345298,0.31959799,1.134900797,0.197547258,Control,Saline,C/S,c-CS-s
3478_8,0.399526645,0.39655933,0.346419644,1.13963964,0.198579936,Control,Saline,C/S,c-CS-s
3478_9,0.351051316,0.385647608,0.363914819,1.055580062,0.192177621,Control,Saline,C/S,c-CS-s
3478_10,0.436672226,0.343807424,0.298052187,1.186598646,0.180319827,Control,Saline,C/S,c-CS-s
3478_11,0.437123977,0.332635983,0.294456067,1.260676595,0.174080284,Control,Saline,C/S,c-CS-s
3478_12,0.424407115,0.376102941,0.335661765,1.14298419,0.16729249,Control,Saline,C/S,c-CS-s
3478_13,0.422121255,0.326127624,0.295364789,1.185858299,0.163708647,Control,Saline,C/S,c-CS-s
3478_14,0.411406736,0.339874739,0.319832985,1.172940843,0.170110388,Control,Saline,C/S,c-CS-s
3478_15,0.412141941,0.354024415,0.315952824,1.139803335,0.159897392,Control,Saline,C/S,c-CS-s
3479_1,0.487092964,0.331621867,0.279472466,0.950284011,0.169675496,Control,Saline,C/S,c-CS-s
3479_2,0.464563841,0.332338605,0.283895355,0.974676452,0.164939212,Control,Saline,C/S,c-CS-s
3479_3,0.459189996,0.357736934,0.304035322,0.960795359,0.171520306,Control,Saline,C/S,c-CS-s
3479_4,0.42553356,0.34502924,0.287948131,1.008428704,0.154887102,Control,Saline,C/S,c-CS-s
3479_5,0.434895436,0.383261635,0.30217703,0.967714853,0.151885208,Control,Saline,C/S,c-CS-s
3479_6,0.416283701,0.372123777,0.320550119,0.926930147,0.149586397,Control,Saline,C/S,c-CS-s
3479_7,0.397242351,0.375245258,0.30559189,1.012479871,0.169887279,Control,Saline,C/S,c-CS-s
3479_8,0.388560158,0.375,0.321753247,0.994674556,0.148915187,Control,Saline,C/S,c-CS-s
3479_9,0.368572563,0.391030811,0.320212938,0.996823506,0.170438753,Control,Saline,C/S,c-CS-s
3479_10,0.37908328,0.4091586,0.312918838,1.048676566,0.155584248,Control,Saline,C/S,c-CS-s
3479_11,0.362901188,0.419538054,0.334721696,1.015921152,0.154536265,Control,Saline,C/S,c-CS-s
3479_12,0.366177761,0.406685237,0.329805014,0.995361665,0.154820108,Control,Saline,C/S,c-CS-s
3479_13,0.340957015,0.414012739,0.320731457,1.164963504,0.147607461,Control,Saline,C/S,c-CS-s
3479_14,0.3578238,0.436801013,0.34733066,1.123931624,0.154832347,Control,Saline,C/S,c-CS-s
3479_15,0.347819037,0.449620573,0.340640809,1.025944544,0.148532512,Control,Saline,C/S,c-CS-s
3480_1,0.400284052,0.358893216,0.284891269,1.018921519,0.161497228,Control,Saline,C/S,c-CS-s
3480_2,0.394858333,0.375266175,0.28968059,1.05947316,0.15257536,Control,Saline,C/S,c-CS-s
3480_3,0.387586806,0.352173221,0.284429231,1.035763889,0.139713542,Control,Saline,C/S,c-CS-s
3480_4,0.348342594,0.350706436,0.267399267,1.09133295,0.160183943,Control,Saline,C/S,c-CS-s
3480_5,0.347252339,0.354466859,0.269967065,1.043181959,0.140140016,Control,Saline,C/S,c-CS-s
3480_6,0.35468731,0.346774194,0.273883375,1.020480312,0.154455687,Control,Saline,C/S,c-CS-s
3480_7,0.305562303,0.350593037,0.271649024,1.055865922,0.147113594,Control,Saline,C/S,c-CS-s
3480_8,0.314795634,0.350515464,0.27508172,1.019440682,0.143335192,Control,Saline,C/S,c-CS-s
3480_9,0.30682874,0.344284995,0.27051863,0.989393001,0.138045835,Control,Saline,C/S,c-CS-s
3480_10,0.290601731,0.341342544,0.259948941,1.006339304,0.1311129,Control,Saline,C/S,c-CS-s
3480_11,0.299513973,0.379698676,0.267539187,0.991798299,0.13527744,Control,Saline,C/S,c-CS-s
3480_12,0.307561682,0.352276108,0.307349003,1.002697033,0.14853661,Control,Saline,C/S,c-CS-s
3480_13,0.280645161,0.377262443,0.307880845,0.985483871,0.131265509,Control,Saline,C/S,c-CS-s
3480_14,0.281087613,0.371641791,0.273880597,0.933534743,0.130876133,Control,Saline,C/S,c-CS-s
3480_15,0.279975728,0.370090356,0.273833671,0.989320388,0.13131068,Control,Saline,C/S,c-CS-s
3484_1,0.442373631,0.322651198,0.331875238,1.08776684,0.357150758,Control,Saline,C/S,c-CS-s
3484_2,0.441270015,0.320018493,0.31752196,0.884075455,0.359618337,Control,Saline,C/S,c-CS-s
3484_3,0.450490683,0.344597722,0.314044996,0.876667769,0.360403573,Control,Saline,C/S,c-CS-s
3484_4,0.388231124,0.320738355,0.330649158,0.887132223,0.330237504,Control,Saline,C/S,c-CS-s
3484_5,0.375342861,0.320585062,0.311593334,0.892594197,0.353616284,Control,Saline,C/S,c-CS-s
3484_6,0.372940341,0.32772219,0.304414361,0.830752841,0.345667614,Control,Saline,C/S,c-CS-s
3484_7,0.343160048,0.305396825,0.31015873,0.894355064,0.289500604,Control,Saline,C/S,c-CS-s
3484_8,0.349929808,0.282142857,0.294409938,1.070472625,0.301357043,Control,Saline,C/S,c-CS-s
3484_9,0.342367514,0.275079046,0.267893073,0.854335475,0.297569153,Control,Saline,C/S,c-CS-s
3484_10,0.276331425,0.333333333,0.360100376,0.877930215,0.160959274,Control,Saline,C/S,c-CS-s
3484_11,0.316689008,0.284122563,0.3143653,0.885835567,0.177949062,Control,Saline,C/S,c-CS-s
3484_12,0.338722624,0.297307997,0.322248614,0.914230019,0.190230478,Control,Saline,C/S,c-CS-s
3484_13,0.279805711,0.337355032,0.349794239,1.018840153,0.168383868,Control,Saline,C/S,c-CS-s
3484_14,0.305625277,0.324270745,0.342490324,0.971209213,0.170677691,Control,Saline,C/S,c-CS-s
3484_15,0.332969602,0.318097534,0.331540886,1.101948558,0.185658613,Control,Saline,C/S,c-CS-s
3497_1,0.356971754,0.399107384,0.467811739,0.832118974,0.204261902,Control,Saline,C/S,c-CS-s
3497_2,0.433725769,0.271013803,0.320704426,0.842433777,0.205013701,Control,Saline,C/S,c-CS-s
3497_3,0.490940693,0.332949971,0.376998275,0.906352049,0.210207521,Control,Saline,C/S,c-CS-s
3497_4,0.328921633,0.398171239,0.453699086,0.91915504,0.176033381,Control,Saline,C/S,c-CS-s
3497_5,0.401870399,0.299579624,0.320227498,0.896796445,0.171121576,Control,Saline,C/S,c-CS-s
3497_6,0.446060771,0.381032376,0.393402566,1.007545374,0.19951057,Control,Saline,C/S,c-CS-s
3497_7,0.300008004,0.418862691,0.434515554,0.985511887,0.167453774,Control,Saline,C/S,c-CS-s
3497_8,0.359520531,0.268758879,0.273795686,0.999676035,0.170729732,Control,Saline,C/S,c-CS-s
3497_9,0.412776413,0.379579253,0.379035183,0.975429975,0.170679771,Control,Saline,C/S,c-CS-s
3497_10,0.267398568,0.423740511,0.430641822,0.884295943,0.147398568,Control,Saline,C/S,c-CS-s
3497_11,0.338175871,0.265589569,0.251842404,0.897729459,0.13642486,Control,Saline,C/S,c-CS-s
3497_12,0.389028182,0.411459459,0.392864865,0.948350216,0.151740046,Control,Saline,C/S,c-CS-s
3497_13,0.245157936,0.430511182,0.433972311,1.002079813,0.150656441,Control,Saline,C/S,c-CS-s
3497_14,0.320115168,0.377521614,0.356240301,1.048684727,0.159141474,Control,Saline,C/S,c-CS-s
3497_15,0.371773974,0.427747181,0.418568057,1.061260527,0.161640858,Control,Saline,C/S,c-CS-s
50810A_1,0.739386842,0.451145641,0.307677114,1.216612991,0.181479777,Control,Saline,C/S,c-CS-s
50810A_2,0.715670967,0.381937025,0.290805103,1.234119484,0.168584107,Control,Saline,C/S,c-CS-s
50810A_3,0.728735539,0.356996505,0.272206822,1.237086524,0.178059312,Control,Saline,C/S,c-CS-s
50810A_4,0.608891922,0.374203163,0.273449789,1.307700383,0.176421185,Control,Saline,C/S,c-CS-s
50810A_5,0.599327457,0.343438437,0.262705682,1.259540429,0.164925867,Control,Saline,C/S,c-CS-s
50810A_6,0.613087484,0.291163476,0.232253314,1.222767812,0.171660487,Control,Saline,C/S,c-CS-s
50810A_7,0.48685609,0.371564268,0.260206144,1.247573159,0.160419471,Control,Saline,C/S,c-CS-s
50810A_8,0.484571745,0.32141805,0.244525189,1.154490107,0.158226097,Control,Saline,C/S,c-CS-s
50810A_9,0.492154741,0.297254902,0.238529412,1.198701474,0.164412282,Control,Saline,C/S,c-CS-s
50810A_10,0.407393749,0.348395956,0.276869305,1.104360653,0.155803448,Control,Saline,C/S,c-CS-s
50810A_11,0.418297679,0.317180095,0.238507109,1.131543013,0.154119254,Control,Saline,C/S,c-CS-s
50810A_12,0.420449458,0.294825371,0.232566289,1.08648939,0.153908139,Control,Saline,C/S,c-CS-s
50810A_13,0.372151322,0.348974049,0.256638503,1.084206928,0.142092069,Control,Saline,C/S,c-CS-s
50810A_14,0.396518154,0.313854327,0.235425696,1.130798305,0.150269156,Control,Saline,C/S,c-CS-s
50810A_15,0.368916972,0.313860252,0.229667812,1.062188227,0.149650815,Control,Saline,C/S,c-CS-s
50810D_1,0.710665211,0.359151573,0.301318716,1.205978706,0.156702157,Control,Saline,C/S,c-CS-s
50810D_2,0.745820476,0.367768271,0.290054164,1.129001059,0.1663059,Control,Saline,C/S,c-CS-s
50810D_3,0.729088169,0.396990019,0.293902059,1.054446119,0.167106255,Control,Saline,C/S,c-CS-s
50810D_4,0.613839423,0.330674112,0.273234942,1.098034383,0.15718775,Control,Saline,C/S,c-CS-s
50810D_5,0.613284635,0.349068565,0.267141324,1.104494243,0.160950848,Control,Saline,C/S,c-CS-s
